"idActividad","idUsuarioCliente","idExperiencia","fecha","valor","pasajeros","direccion","comuna","nroContacto","evaluacion","idEstado","comentarioActividad","nombreEstado","nombreUsuario","nombreExperiencia",
"184","212","19","2014-11-20 22:00:00","91750","2","fs 43","34","42345252","","1","","Reservada","Pedro","Del Pacífico a tu Paladar",
"193","213","1","2014-11-20 20:00:00","7500","2","cerquita de transbank 1621","12","80044114","","4","","Pagada","Soporte","Experiencia de test 1",
"177","202","1","2014-11-19 21:00:00","7500","2","agua santa 213123","51","12312312","","4","","Pagada","Manuel","Experiencia de test 1",
"191","97","1","2014-11-18 15:00:00","7500","2","sdfsdf 546","11","65465422","","4","","Pagada","Manuel","Experiencia de test 1",
"187","97","1","2014-11-18 14:00:00","7500","2","sdfsdf 546","51","65465422","","2","","Rechazada","Manuel","Experiencia de test 1",
"188","97","1","2014-11-18 14:00:00","7500","2","sdfsdf 546","52","65465422","","2","","Rechazada","Manuel","Experiencia de test 1",
"182","202","1","2014-11-18 13:00:00","7500","2","agua santa 213123","11","12312312","","2","","Rechazada","Manuel","Experiencia de test 1",
"185","97","1","2014-11-18 12:00:00","7500","2","sdfsdf 546","39","65465422","","2","","Rechazada","Manuel","Experiencia de test 1",
"186","97","1","2014-11-18 12:00:00","7500","2","sdfsdf 546","13","65465422","","2","","Rechazada","Manuel","Experiencia de test 1",
"178","219","20","2014-11-13 16:00:00","107520","6","jghv 757","14","68764968","","1","","Reservada","Bernardita","Mi Buenos Aires querido",
"180","202","1","2014-11-12 21:00:00","7500","2","agua santa 213123","11","12312312","","4","","Pagada","Manuel","Experiencia de test 1",
